"column_desc_details"
"(abandoned,""Account status indicating it is unclaimed possibly requiring specific regulatory reporting"")"
"(able_basis,""Eligibility criteria for the basis of a designated ABLE account beneficiary"")"
"(able_code,""Disability type code for qualifying benefits in an ABLE account"")"
"(account,""Number identifying the account holder for transaction tracking and management"")"
"(account_alt,""Specifies the use of an account as an alternative or secondary classification for tracking"")"
"(account_bnk,""Bank account linked to account holder related to clients banking"")"
"(account_cc,""Account connected to credit card institution for client"")"
"(account_moniker,""Clientassigned identifier representing account relationships"")"
"(account_original,""Initial account number persists through transfers aligning with owner"")"
"(account_print,""Account number for printed records differing from onrecord number"")"
"(account_slv,""Consolidated account for sleeve reporting aggregating financial data"")"
"(account_type,""Classification code for trading or location of asset"")"
"(accrual_period_begin,""This is the commencement date of an accrual period for noting recognized earnings holdings revenues and expenses"")"
"(accrual_period_end,""This marks the conclusion date of an accrual period for finalizing recorded earnings holdings revenues and expenses"")"
"(accrued_int,""Total interest that has accumulated on a trade in USD representing unpaid interest up to a specific date"")"
"(accrued_int_base,""Total accrued interest on a trade in its respective base currency essential for accurate international reporting"")"
"(ac_id,""ISOassigned code identifying regions in supranational contexts"")"
"(acting_as,""Role or status an entity acts upon within specified transactional contexts"")"
"(action,""Operational value driving specific attribute usage triggering defined actions within relevant financial or business processes"")"
"(activeind,""Indicator showing if the record is the current version vital for maintaining accurate updated data records"")"
"(activity,""Describes specific activity type in retirement plan transactions"")"
"(activity_type,""Indicates transaction source crucial for classification and accurate financial record management and tax reporting"")"
"(added_acct_cusips,""Identifies accountsCUSIPs added explicitly for lot strengthening commendably"")"
"(address_1,""Primary address line of the accountholder crucial for accurate delivery of financial and tax communications"")"
"(address_2,""Secondary line containing additional address details ensuring comprehensive address identification in correspondence"")"
"(address_3,""Tertiary line for more address information aiding detailed specification and accuracy in communication"")"
"(address_4,""Fourth line for additional address details supporting precise location delivery in extensive settings"")"
"(address_5,""Fifth line for further detailing of complex addresses vital for ensuring full address specifications in records"")"
"(address_6,""Sixth line accommodating further address specifics ensuring thorough address delineation in detailed locations"")"
"(address_7,""Seventh line for detailed address completion supporting comprehensive delineation of extensive sites"")"
"(address_cycle,""Designates address as permanent or conditional affecting its use in official and taxrelated correspondence"")"
"(address_type,""Classification of address usage essential for sorting and directing taxrelated or official correspondence"")"
"(address_usage,""Designation of address usage type and duration for precise communication and record management"")"
"(addr_usage_juris,""Indicator of address type applicability for jurisdictional filings ensuring compliance with regulatory requirements"")"
"(addr_usage_print,""Signifies address print type suitability for universal jurisdictional filings ensuring compliance and proper delivery"")"
"(addr_validation,""Indicator that address has been validated or updated to ensure accuracy and proper communication"")"
"(addr_validation_src,""Identifies the source of address validation confirming its authenticity and accuracy for records"")"
"(adj_code,""Code indicating if a record is new or corrected crucial for accurate accounting and recordkeeping"")"
"(agent_ref,""Naming convention for financial agents managing accounts ensuring clear identification and regulation"")"
"(agy_amt_code,""Code assigned for corresponding reported amounts to specific form sections ensuring consistency in jurisdictional reports"")"
"(agy_box,""Value for form box assignment in electronic reports ensuring precise categorization and reporting of information"")"
"(agy_form_code,""Assigned form code representing document type within jurisdictional files enhancing organization and identification"")"
"(all_oid,""Election to amortize interest as Original Issue Discount OID aligning with specific regulatory or investment strategies"")"
"(alpha2_3166,""Twocharacter ISO 3166 identifier for country verification in nomenclature"")"
"(alpha3_3166,""Standardized threecharacter ISO country code"")"
"(alt_box_desc,""Alternative or nonEnglish description for form boxes or lines enhancing clarity in jurisdictional reports"")"
"(alt_inv,""Nontraditional investment types differing in returns and risks may entail specific tax treatment or classifications"")"
"(amort_fx,""Instructions detailing the application of FX rate vital for accurate valuation in international financial contexts"")"
"(amort_inc_ind,""Override for default noncovered amortization significant for tailored financial management and reporting strategies"")"
"(amort_inc_te_ind,""Override for default taxexempt OID handling adjusting tax treatment for specific income scenarios"")"
"(amount,""Represents the transaction value in functional currency essential for accurate financial reporting and assessments"")"
"(amount_base,""Processed transaction value in base currency ensuring consistency and standardization in international reporting"")"
"(amount_close,""Finalized amount used in closing tax lot records"")"
"(amount_close_orig,""Amount originally closing a tax lot before adjustments aiding reconciliation"")"
"(amount_open,""Initial amount recorded to open tax lot relevant for transparent reporting and valuation adjustments"")"
"(amount_open_orig,""Value indicating activeinactive asset status by issuerdriven events"")"
"(amount_principal,""Base principal amount originating from leveraging record values essential for accurate transaction history"")"
"(amount_reclass,""Amount reclassified through taxonomy services enhancing clarity and precision in financial reporting"")"
"(amount_refund,""Refunded amount on withheld taxes due to material changes in payer circumstances requiring documentation"")"
"(amount_wash_disallow,""Amount of loss disallowed under wash sale rules for reporting"")"
"(amount_wash_open,""Amount applied to closing lot under wash sale rules per IRS regulations"")"
"(announce_seq_cd,""Sequential number relating to announcement timeline of payments or events"")"
"(approvedby,""Notation of the person who approved the transaction or record ensuring authenticity and compliance"")"
"(approve_elig,""Denotes calculations that require approval before completion"")"
"(approver_id,""User ID of event approver ensuring decisions align with authorization protocols"")"
"(as_of_ind,""Highlights the date from which data is applicable"")"
"(audit_end,""End date indicating audit period closure signifying completion for regulatory and compliance purposes"")"
"(auditid,""Unique identifier tracing records through change cycles ensuring comprehensive documentation and management"")"
